dataset,fpr,tpr,threshold,auc
BIPIA,0.0016666666666666668,0.16666666666666666,-2.0176827907562256,0.9559239583333382
BIPIA,0.0016666666666666668,0.1675,-2.017642021179199,0.9559239583333382
BIPIA,0.0016666666666666668,0.16833333333333333,-2.0107693672180176,0.9559239583333382
BIPIA,0.0016666666666666668,0.16916666666666666,-2.004359483718872,0.9559239583333382
BIPIA,0.0016666666666666668,0.17,-2.0010180473327637,0.9559239583333382
BIPIA,0.0016666666666666668,0.17083333333333334,-1.9990602731704712,0.9559239583333382
BIPIA,0.0016666666666666668,0.17166666666666666,-1.9973267316818237,0.9559239583333382
BIPIA,0.0016666666666666668,0.1725,-1.99508535861969,0.9559239583333382
BIPIA,0.0016666666666666668,0.17333333333333334,-1.9943488836288452,0.9559239583333382
BIPIA,0.0025,0.17416666666666666,-1.9917722940444946,0.9559239583333382
BIPIA,0.0025,0.175,-1.9872139692306519,0.9559239583333382
BIPIA,0.0025,0.17583333333333334,-1.982897162437439,0.9559239583333382
BIPIA,0.0025,0.17666666666666667,-1.9814151525497437,0.9559239583333382
BIPIA,0.0025,0.1775,-1.9721893072128296,0.9559239583333382
BIPIA,0.0025,0.17833333333333334,-1.9721070528030396,0.9559239583333382
BIPIA,0.0025,0.17916666666666667,-1.9700006246566772,0.9559239583333382
BIPIA,0.0025,0.18,-1.9693514108657837,0.9559239583333382
BIPIA,0.0025,0.18083333333333335,-1.9688369035720825,0.9559239583333382
BIPIA,0.0025,0.18166666666666667,-1.9647196531295776,0.9559239583333382
BIPIA,0.0025,0.1825,-1.9624894857406616,0.9559239583333382
BIPIA,0.0025,0.18333333333333332,-1.9581471681594849,0.9559239583333382
BIPIA,0.0025,0.18416666666666667,-1.957736849784851,0.9559239583333382
BIPIA,0.0025,0.185,-1.9575432538986206,0.9559239583333382
BIPIA,0.0025,0.18583333333333332,-1.9555498361587524,0.9559239583333382
BIPIA,0.0025,0.18666666666666668,-1.9519039392471313,0.9559239583333382
BIPIA,0.0025,0.1875,-1.9471951723098755,0.9559239583333382
BIPIA,0.0025,0.18833333333333332,-1.942651629447937,0.9559239583333382
BIPIA,0.0025,0.18916666666666668,-1.9413849115371704,0.9559239583333382
BIPIA,0.0025,0.19,-1.9386035203933716,0.9559239583333382
BIPIA,0.0025,0.19083333333333333,-1.9319361448287964,0.9559239583333382
BIPIA,0.0025,0.19166666666666668,-1.9310928583145142,0.9559239583333382
BIPIA,0.0025,0.1925,-1.9309793710708618,0.9559239583333382
BIPIA,0.0025,0.19333333333333333,-1.9295774698257446,0.9559239583333382
BIPIA,0.0025,0.19416666666666665,-1.929519772529602,0.9559239583333382
BIPIA,0.0033333333333333335,0.19416666666666665,-1.9268466234207153,0.9559239583333382
BIPIA,0.0033333333333333335,0.195,-1.926198124885559,0.9559239583333382
BIPIA,0.0033333333333333335,0.19583333333333333,-1.9260128736495972,0.9559239583333382
BIPIA,0.0033333333333333335,0.19666666666666666,-1.9250134229660034,0.9559239583333382
BIPIA,0.0033333333333333335,0.1975,-1.9244400262832642,0.9559239583333382
BIPIA,0.0033333333333333335,0.19833333333333333,-1.923545479774475,0.9559239583333382
BIPIA,0.0033333333333333335,0.19916666666666666,-1.9227086305618286,0.9559239583333382
BIPIA,0.0033333333333333335,0.2,-1.9214736223220825,0.9559239583333382
BIPIA,0.0033333333333333335,0.20083333333333334,-1.9213711023330688,0.9559239583333382
BIPIA,0.0033333333333333335,0.20166666666666666,-1.9204145669937134,0.9559239583333382
BIPIA,0.0033333333333333335,0.2025,-1.9203990697860718,0.9559239583333382
BIPIA,0.0033333333333333335,0.20333333333333334,-1.916735291481018,0.9559239583333382
BIPIA,0.0033333333333333335,0.20416666666666666,-1.91623055934906,0.9559239583333382
BIPIA,0.0033333333333333335,0.205,-1.9149595499038696,0.9559239583333382
BIPIA,0.0033333333333333335,0.20583333333333334,-1.9144526720046997,0.9559239583333382
BIPIA,0.0033333333333333335,0.20666666666666667,-1.9143797159194946,0.9559239583333382
BIPIA,0.0033333333333333335,0.2075,-1.914054274559021,0.9559239583333382
BIPIA,0.0033333333333333335,0.20833333333333334,-1.912263035774231,0.9559239583333382
BIPIA,0.0033333333333333335,0.20916666666666667,-1.910340428352356,0.9559239583333382
BIPIA,0.0033333333333333335,0.21,-1.9102228879928589,0.9559239583333382
BIPIA,0.0033333333333333335,0.21083333333333334,-1.9081052541732788,0.9559239583333382
BIPIA,0.0033333333333333335,0.21166666666666667,-1.9065204858779907,0.9559239583333382
BIPIA,0.0033333333333333335,0.2125,-1.9011603593826294,0.9559239583333382
BIPIA,0.0033333333333333335,0.21333333333333335,-1.8998700380325317,0.9559239583333382
BIPIA,0.0033333333333333335,0.21416666666666667,-1.898857593536377,0.9559239583333382
BIPIA,0.0033333333333333335,0.215,-1.8986786603927612,0.9559239583333382
BIPIA,0.0033333333333333335,0.21583333333333332,-1.8970881700515747,0.9559239583333382
BIPIA,0.0033333333333333335,0.21666666666666667,-1.8958935737609863,0.9559239583333382
BIPIA,0.0033333333333333335,0.2175,-1.8956116437911987,0.9559239583333382
BIPIA,0.0033333333333333335,0.21833333333333332,-1.8924683332443237,0.9559239583333382
BIPIA,0.0033333333333333335,0.21916666666666668,-1.8864476680755615,0.9559239583333382
BIPIA,0.0033333333333333335,0.22,-1.8863863945007324,0.9559239583333382
BIPIA,0.0033333333333333335,0.22083333333333333,-1.8849188089370728,0.9559239583333382
BIPIA,0.0033333333333333335,0.22166666666666668,-1.883129596710205,0.9559239583333382
BIPIA,0.0033333333333333335,0.2225,-1.882156252861023,0.9559239583333382
BIPIA,0.0033333333333333335,0.22333333333333333,-1.8799371719360352,0.9559239583333382
BIPIA,0.0033333333333333335,0.22416666666666665,-1.878310203552246,0.9559239583333382
BIPIA,0.0033333333333333335,0.225,-1.873151183128357,0.9559239583333382
BIPIA,0.0033333333333333335,0.22583333333333333,-1.872871994972229,0.9559239583333382
BIPIA,0.0033333333333333335,0.22666666666666666,-1.8725616931915283,0.9559239583333382
BIPIA,0.0033333333333333335,0.2275,-1.8724688291549683,0.9559239583333382
BIPIA,0.0033333333333333335,0.22833333333333333,-1.8722707033157349,0.9559239583333382
BIPIA,0.0033333333333333335,0.22916666666666666,-1.8693245649337769,0.9559239583333382
BIPIA,0.0033333333333333335,0.23,-1.8691290616989136,0.9559239583333382
BIPIA,0.0033333333333333335,0.23083333333333333,-1.8676536083221436,0.9559239583333382
BIPIA,0.0033333333333333335,0.23166666666666666,-1.866080641746521,0.9559239583333382
BIPIA,0.0033333333333333335,0.2325,-1.8628485202789307,0.9559239583333382
BIPIA,0.0033333333333333335,0.23333333333333334,-1.8603191375732422,0.9559239583333382
BIPIA,0.0033333333333333335,0.23416666666666666,-1.860050916671753,0.9559239583333382
BIPIA,0.0033333333333333335,0.235,-1.8599883317947388,0.9559239583333382
BIPIA,0.0033333333333333335,0.23583333333333334,-1.8585132360458374,0.9559239583333382
BIPIA,0.0033333333333333335,0.23666666666666666,-1.854644775390625,0.9559239583333382
BIPIA,0.0033333333333333335,0.2375,-1.8526192903518677,0.9559239583333382
BIPIA,0.0033333333333333335,0.23833333333333334,-1.8455842733383179,0.9559239583333382
BIPIA,0.0033333333333333335,0.23916666666666667,-1.8421381711959839,0.9559239583333382
BIPIA,0.0033333333333333335,0.24,-1.8409316539764404,0.9559239583333382
BIPIA,0.0033333333333333335,0.24083333333333334,-1.8367588520050049,0.9559239583333382
BIPIA,0.0033333333333333335,0.24166666666666667,-1.8366659879684448,0.9559239583333382
BIPIA,0.0033333333333333335,0.2425,-1.8345950841903687,0.9559239583333382
BIPIA,0.0033333333333333335,0.24333333333333335,-1.8312698602676392,0.9559239583333382
BIPIA,0.0033333333333333335,0.24416666666666667,-1.8308085203170776,0.9559239583333382
BIPIA,0.0033333333333333335,0.245,-1.8286783695220947,0.9559239583333382
BIPIA,0.0033333333333333335,0.24583333333333332,-1.828107237815857,0.9559239583333382
BIPIA,0.0033333333333333335,0.24666666666666667,-1.8242286443710327,0.9559239583333382
BIPIA,0.0033333333333333335,0.2475,-1.8210805654525757,0.9559239583333382
BIPIA,0.0033333333333333335,0.24833333333333332,-1.8201876878738403,0.9559239583333382
BIPIA,0.0033333333333333335,0.24916666666666668,-1.8156625032424927,0.9559239583333382
BIPIA,0.0033333333333333335,0.25,-1.8146811723709106,0.9559239583333382
BIPIA,0.0033333333333333335,0.25083333333333335,-1.812688946723938,0.9559239583333382
BIPIA,0.0033333333333333335,0.25166666666666665,-1.8114194869995117,0.9559239583333382
BIPIA,0.0033333333333333335,0.2525,-1.8106515407562256,0.9559239583333382
BIPIA,0.0033333333333333335,0.25333333333333335,-1.8092740774154663,0.9559239583333382
BIPIA,0.0033333333333333335,0.25416666666666665,-1.8086239099502563,0.9559239583333382
BIPIA,0.0033333333333333335,0.255,-1.804205298423767,0.9559239583333382
BIPIA,0.0033333333333333335,0.25583333333333336,-1.8034003973007202,0.9559239583333382
BIPIA,0.0033333333333333335,0.25666666666666665,-1.801116943359375,0.9559239583333382
BIPIA,0.0033333333333333335,0.2575,-1.8009603023529053,0.9559239583333382
BIPIA,0.0033333333333333335,0.25833333333333336,-1.7953325510025024,0.9559239583333382
BIPIA,0.0033333333333333335,0.25916666666666666,-1.7952260971069336,0.9559239583333382
BIPIA,0.0033333333333333335,0.26,-1.79385507106781,0.9559239583333382
BIPIA,0.0033333333333333335,0.2608333333333333,-1.792450189590454,0.9559239583333382
BIPIA,0.0033333333333333335,0.26166666666666666,-1.789062738418579,0.9559239583333382
BIPIA,0.004166666666666667,0.2625,-1.7874418497085571,0.9559239583333382
BIPIA,0.004166666666666667,0.2633333333333333,-1.7798317670822144,0.9559239583333382
BIPIA,0.004166666666666667,0.26416666666666666,-1.7775800228118896,0.9559239583333382
BIPIA,0.004166666666666667,0.265,-1.7763272523880005,0.9559239583333382
BIPIA,0.004166666666666667,0.2658333333333333,-1.7757859230041504,0.9559239583333382
BIPIA,0.004166666666666667,0.26666666666666666,-1.773283839225769,0.9559239583333382
BIPIA,0.004166666666666667,0.2675,-1.768924355506897,0.9559239583333382
BIPIA,0.004166666666666667,0.2683333333333333,-1.7681738138198853,0.9559239583333382
BIPIA,0.004166666666666667,0.26916666666666667,-1.767422080039978,0.9559239583333382
BIPIA,0.004166666666666667,0.27,-1.7651822566986084,0.9559239583333382
BIPIA,0.004166666666666667,0.2708333333333333,-1.764685034751892,0.9559239583333382
BIPIA,0.004166666666666667,0.27166666666666667,-1.7641701698303223,0.9559239583333382
BIPIA,0.004166666666666667,0.2725,-1.7621029615402222,0.9559239583333382
BIPIA,0.004166666666666667,0.2733333333333333,-1.761165738105774,0.9559239583333382
BIPIA,0.004166666666666667,0.27416666666666667,-1.7604881525039673,0.9559239583333382
BIPIA,0.004166666666666667,0.275,-1.7598906755447388,0.9559239583333382
BIPIA,0.004166666666666667,0.2758333333333333,-1.7552798986434937,0.9559239583333382
BIPIA,0.004166666666666667,0.27666666666666667,-1.7529820203781128,0.9559239583333382
BIPIA,0.004166666666666667,0.2775,-1.7525252103805542,0.9559239583333382
BIPIA,0.004166666666666667,0.2783333333333333,-1.7522505521774292,0.9559239583333382
BIPIA,0.004166666666666667,0.2791666666666667,-1.750959038734436,0.9559239583333382
BIPIA,0.004166666666666667,0.28,-1.7502152919769287,0.9559239583333382
BIPIA,0.004166666666666667,0.2808333333333333,-1.7498112916946411,0.9559239583333382
BIPIA,0.004166666666666667,0.2816666666666667,-1.747991681098938,0.9559239583333382
BIPIA,0.004166666666666667,0.2825,-1.7477238178253174,0.9559239583333382
BIPIA,0.004166666666666667,0.2833333333333333,-1.7467873096466064,0.9559239583333382
BIPIA,0.004166666666666667,0.2841666666666667,-1.7461258172988892,0.9559239583333382
BIPIA,0.004166666666666667,0.285,-1.7426964044570923,0.9559239583333382
BIPIA,0.004166666666666667,0.28583333333333333,-1.7423080205917358,0.9559239583333382
BIPIA,0.004166666666666667,0.2866666666666667,-1.7423030138015747,0.9559239583333382
BIPIA,0.004166666666666667,0.2875,-1.7398401498794556,0.9559239583333382
BIPIA,0.004166666666666667,0.28833333333333333,-1.7361366748809814,0.9559239583333382
BIPIA,0.004166666666666667,0.2891666666666667,-1.7357815504074097,0.9559239583333382
BIPIA,0.004166666666666667,0.29,-1.7345036268234253,0.9559239583333382
BIPIA,0.004166666666666667,0.29083333333333333,-1.7338147163391113,0.9559239583333382
BIPIA,0.004166666666666667,0.2916666666666667,-1.7312341928482056,0.9559239583333382
BIPIA,0.004166666666666667,0.2925,-1.7309335470199585,0.9559239583333382
