base_threshold,score_margin,use_plan_mine,use_action_prior,ir,fpr,acc,distance,n
-0.2,0.0,False,False,0.24333333333333335,0.22166666666666668,0.5108333333333334,0.8523333333333333,2400
0.05,0.2,False,False,0.285,0.2633333333333333,0.5108333333333334,0.8523333333333334,2400
-0.1,0.1,False,False,0.24166666666666667,0.22166666666666668,0.51,0.854,2400
0.0,0.2,False,False,0.23916666666666667,0.22166666666666668,0.50875,0.8565,2400
-0.2,0.05,False,False,0.20166666666666666,0.18583333333333332,0.5079166666666667,0.8581666666666667,2400
-0.05,0.2,False,False,0.19916666666666666,0.18416666666666667,0.5075,0.859,2400
0.05,0.0,False,False,0.5208333333333334,0.5058333333333334,0.5075,0.859,2400
-0.2,0.1,False,False,0.16583333333333333,0.15083333333333335,0.5075,0.8590000000000001,2400
-0.3,0.0,False,False,0.16583333333333333,0.15166666666666667,0.5070833333333333,0.8598333333333334,2400
-0.1,0.2,False,False,0.16416666666666666,0.15083333333333335,0.5066666666666667,0.8606666666666667,2400
0.05,0.35,False,False,0.16333333333333333,0.15,0.5066666666666667,0.8606666666666667,2400
-0.2,0.2,False,False,0.1075,0.09666666666666666,0.5054166666666666,0.8631666666666666,2400
-0.3,0.1,False,False,0.10833333333333334,0.09833333333333333,0.505,0.864,2400
-0.3,0.05,False,False,0.1375,0.12833333333333333,0.5045833333333334,0.8648333333333333,2400
-0.1,0.35,False,False,0.08333333333333333,0.07416666666666667,0.5045833333333334,0.8648333333333333,2400
-0.05,0.35,False,False,0.10583333333333333,0.09666666666666666,0.5045833333333334,0.8648333333333333,2400
0.0,0.35,False,False,0.13416666666666666,0.12583333333333332,0.5041666666666667,0.8656666666666667,2400
0.05,0.5,False,False,0.08166666666666667,0.07416666666666667,0.50375,0.8665,2400
-0.5,0.0,False,False,0.06833333333333333,0.06166666666666667,0.5033333333333333,0.8673333333333333,2400
-0.3,0.2,False,False,0.0675,0.06166666666666667,0.5029166666666667,0.8681666666666666,2400
0.0,0.5,False,False,0.06583333333333333,0.060833333333333336,0.5025,0.869,2400
-0.5,0.2,False,False,0.0225,0.018333333333333333,0.5020833333333333,0.8698333333333333,2400
-0.2,0.5,False,False,0.020833333333333332,0.016666666666666666,0.5020833333333333,0.8698333333333333,2400
-0.3,0.35,False,False,0.025833333333333333,0.0225,0.5016666666666667,0.8706666666666666,2400
-0.5,0.05,False,False,0.051666666666666666,0.04833333333333333,0.5016666666666667,0.8706666666666667,2400
0.05,0.75,False,False,0.02,0.016666666666666666,0.5016666666666667,0.8706666666666667,2400
-0.5,0.1,False,False,0.0375,0.035,0.50125,0.8715,2400
-0.1,0.5,False,False,0.035833333333333335,0.035,0.5004166666666666,0.8731666666666666,2400
-0.2,0.35,False,False,0.04833333333333333,0.04833333333333333,0.5,0.874,2400
-0.05,0.5,False,False,0.04833333333333333,0.04833333333333333,0.5,0.874,2400
0.0,0.75,False,False,0.013333333333333334,0.0125,0.5004166666666666,0.8781666666666667,2400
-0.3,0.5,False,False,0.0125,0.01,0.50125,0.8815000000000001,2400
-0.05,0.75,False,False,0.0125,0.01,0.50125,0.8815000000000001,2400
-0.5,0.35,False,False,0.01,0.005833333333333334,0.5020833333333333,0.8881666666666667,2400
-0.1,0.75,False,False,0.009166666666666667,0.005833333333333334,0.5016666666666667,0.889,2400
-0.2,0.75,False,False,0.004166666666666667,0.004166666666666667,0.5,0.8956666666666667,2400
0.05,1.0,False,False,0.004166666666666667,0.004166666666666667,0.5,0.8956666666666667,2400
-0.5,0.5,False,False,0.0033333333333333335,0.0033333333333333335,0.5,0.8973333333333334,2400
-0.3,0.75,False,False,0.0033333333333333335,0.0033333333333333335,0.5,0.8973333333333334,2400
-0.05,1.0,False,False,0.0033333333333333335,0.0033333333333333335,0.5,0.8973333333333334,2400
0.0,1.0,False,False,0.0033333333333333335,0.0033333333333333335,0.5,0.8973333333333334,2400
-0.1,1.0,False,False,0.0025,0.0033333333333333335,0.4995833333333333,0.8981666666666668,2400
-0.5,0.75,False,False,0.0016666666666666668,0.0016666666666666668,0.5,0.9006666666666666,2400
-0.3,1.0,False,False,0.0016666666666666668,0.0016666666666666668,0.5,0.9006666666666666,2400
